id,stage,source_strength,claim_state,source_date,date_checked,geography,source_owner,source_title,claim_supported,artifact_or_url,caveat,refresh_rule
G01,technology_supply,S5,Derived,2026-02-16/2026-08-16,2026-08-18,Global developer supply,Project analysis,GitHub weekly Trending archive analysis,"421 archived appearances across 26 weeks; 81.2% classified AI-related and 57.7% agent-related",data/github-trend-summary.csv,"Archive coverage was 81.0%; categories are analyst classifications; not consumer demand",Re-run before using for a later trend period
G02,technology_supply,S1,Observed,Undated,2026-08-18,Global,GitHub,Explore what is Trending on GitHub,"GitHub describes daily weekly and monthly Trending time buckets",https://github.blog/news-insights/company-news/explore-what-is-trending-on-github/,Does not disclose the full ranking algorithm,Check if GitHub changes Trending behavior
C01,initial_screen,S3,Observed,2026-06-25,2026-08-18,United States,Clutch,2026 AI Customer Support Research,"Source reports common AI-support use escalation blocking and context repetition in a 422-person survey",https://clutch.co/press-releases/ai-customer-support,Commercial survey with a modest sample; figures were not independently replicated,Refresh before re-evaluating the rejected concept
C02,initial_screen,S3,Observed,2026-05-12,2026-08-18,United States,Verint,State of Customer Experience 2026,"Source reports preference for human support and strong emphasis on resolution speed",https://www.verint.com/press-room/2026-press-releases/new-verint-survey-reveals-rising-customer-service-expectations/,Vendor research,Refresh before re-evaluating the rejected concept
C03,initial_screen,S3,Observed,2026-06-18,2026-08-18,Multi-country including United States,Qualtrics,Agent Effectiveness Benchmark,"Source identifies understanding and context-preserving handoff as service weaknesses",https://www.qualtrics.com/articles/customer-experience/future-of-customer-service/,Cross-country vendor research,Refresh before re-evaluating the rejected concept
S01,initial_screen,S1,Observed,2026-04,2026-08-18,United States,Federal Trade Commission,Social media scam data,"Official release reports large social-media scam losses and shopping-scam report volume",https://www.ftc.gov/news-events/news/press-releases/2026/04/new-ftc-data-show-people-have-lost-billions-social-media-scams,Reported losses understate and may not represent all losses,Refresh annually or before a scam-product decision
S02,initial_screen,S2,Observed,2026-04-07,2026-08-18,United States,AARP,Fraud Crisis in America,"Survey reports a large share of adults affected by fraud or sensitive-information loss",https://www.aarp.org/money/scams-fraud/fraud-awareness-survey-2026/,Survey result not a product-demand measure,Refresh before a scam-product decision
H01,initial_screen,S2,Observed,2026-06-04,2026-08-18,United States,Commonwealth Fund,How Health Insurance Coverage Denials Affect Americans,"Representative survey reports consequential treatment denials among privately insured working-age adults",https://www.commonwealthfund.org/publications/surveys/2026/jun/how-health-insurance-coverage-denials-affect-americans-2025-affordability-survey,High pain does not remove medical or regulatory risk,Refresh before a health-product decision
F01,initial_screen,S2,Observed,2026-02,2026-08-18,United States,NORC,Caregiving in the Digital Age,"Research reports technology use and adoption barriers among unpaid caregivers",https://www.norc.org/research/library/caregiving-digital-age.html,Caregiver subsample limitations apply,Refresh before a caregiving-product decision
T01,initial_screen,S2,Observed,2026-07-20,2026-08-18,United States,AARP,2026 Technology Trends and Adults 50 Plus,"Survey reports high smartphone ownership alongside design and trust concerns",https://www.aarp.org/pri/topics/technology/internet-media-devices/2026-technology-trends-older-adults/,Does not prove demand for a screenshot coach,Refresh before an older-adult product decision
P01,initial_screen,S1,Observed,2025-12,2026-08-18,United States,U.S. Census Bureau,A Child's Day,"Official publication provides a structural count of U.S. people under 18",https://www2.census.gov/library/publications/2026/demo/p70-212.pdf,Structural population context rather than a recent demand signal,Refresh when a newer official estimate is released
SUB01,initial_screen,S3,Observed,2026,2026-08-18,United States,Self Financial,Unused Subscriptions Survey,"Commercial survey reports widespread forgotten free-trial cancellation",https://www.self.inc/info/cost-of-unused-paid-subscriptions/,Commercial survey and not a willingness-to-pay measure,Refresh before a subscription-product decision
B08,initial_screen,S3,Observed,2026-Q2,2026-08-18,United States,TransUnion,Consumer Pulse,"Quarterly survey reports high concern about food and fuel prices",https://www.transunion.com/consumer-pulse-study,Concern does not prove adoption of a specific savings tool,Refresh each quarter if used
B01,billfit_selection,S1,Observed,Current page,2026-08-18,Northern and Central California,PG&E,Company Profile,"PG&E reports approximately 5.5 million electric customer accounts",https://www.pge.com/en/about/company-information/company-profile.html,Includes residential and business accounts; not an adoption estimate,Check annually or before a market-reach claim
B02,billfit_product,S1,Observed,2026-03-01 effective period,2026-08-18,PG&E service territory,PG&E,Electric Rates,"Current and historic residential rate workbooks are published; the page listed March 1 2026 to present as current",https://www.pge.com/tariffs/en/rate-information/electric-rates.html,The controlling tariff prevails and may change,Check before every data release and when snapshot age exceeds the product threshold
B03,billfit_product,S1,Observed,Current page,2026-08-18,PG&E service territory,PG&E,Energy Usage Tools,"Electric data is available in 15-minute intervals and customers can use Green Button Download My Data after sign-in",https://www.pge.com/en/save-energy-and-money/energy-usage-and-tips/understand-my-usage.html,User must authenticate and export; some account types have different availability,Check each release or if the export workflow changes
B04,billfit_product,S1,Observed,2026-06-01/2027-05-31,2026-08-18,California,California Public Utilities Commission,CARE and FERA Program,"CPUC publishes date-bounded CARE and FERA income guidelines",https://www.cpuc.ca.gov/care/,Preliminary screening is not final utility approval,Refresh at the effective-period boundary or earlier program change
B05,billfit_product,S1,Observed,Current page,2026-08-18,PG&E service territory,PG&E,Medical Baseline Program,"Medical needs require practitioner certification and program review",https://www.pge.com/en/account/billing-and-assistance/financial-assistance/medical-baseline-program.html,BillFit can only identify a possible pathway,Check each release or when the program changes
B06,billfit_engineering,S1,Observed,2026-08-18,2026-08-18,Public GitHub,ValerianXXX,BillFit source repository,"Public implementation documents scope deterministic calculations tests and human gates",https://github.com/ValerianXXX/billfit,Repository quality is not real-user validation,Refresh every BillFit release
B07,billfit_distribution,S1,Observed,2026-08-18,2026-08-18,Public GitHub,ValerianXXX,BillFit v0.2.0,"A public tagged GitHub release exists",https://github.com/ValerianXXX/billfit/releases/tag/v0.2.0,A release is not marketplace approval or adoption,Refresh every BillFit release
