rank,candidate,target_user,trigger,reach_proxy,reach_score,frequency_score,pain_score,whitespace_score,mvp_ease_score,ai_leverage_score,acquisition_score,monetization_score,gross_score,risk_deduction,final_score,evidence_ids,decision
1,Customer-service context passport,U.S. consumers blocked by an AI support bot,"The bot loops or loses context during human escalation",Recent consumer-service surveys reported frequent AI support use and escalation friction,5,4,4,4,4,5,4,3,85,3,82,C01;C02;C03,Rejected as first product after substitute and integration tests
2,Scam incident navigator,Consumers who just clicked shared or paid a suspected scam,"The first minutes after suspected compromise",High-frequency scam exposure and large official loss reports,5,4,5,3,4,4,4,2,82,8,74,S01;S02,Deferred because trust burden is high and strong free official routes exist
3,Complex notice-to-action list,Households receiving insurance school government or property notices,"The reader understands the words but not required actions or dates",Applies across common adult administrative tasks,5,3,4,3,5,5,4,3,82,10,72,C02,Rejected as too broad and too close to general AI document help
4,Senior phone screenshot coach,Older users and adult children helping remotely,"An unfamiliar phone screen creates fear of a wrong tap",Large older-adult smartphone base with reported design and trust gaps,4,4,4,3,4,5,2,2,75,5,70,T01,Rejected as readily approximated by multimodal AI and risky in sensitive screens
4,School-message action summary,Busy K-12 families,"A deadline or required item is buried across email apps PDFs or paper",Large family base and persistent email use,4,5,4,1,4,5,4,3,75,5,70,P01,Deferred because direct supply is crowded and child privacy adds risk
6,Receipt-driven low-waste meal helper,Food-budget-conscious households,"Existing food and the next shopping list do not connect",High concern about food costs,5,5,4,1,3,3,4,2,71,2,69,B08,Rejected because substitutes are mature and AI is mainly a feature upgrade
7,Subscription cancellation and price-dispute pack,Consumers with multiple subscriptions,"A trial converts a price rises or a charge continues after cancellation",Commercial surveys report widespread trial and cancellation friction,5,4,3,1,5,3,4,3,72,4,68,SUB01,Reframed as a template rather than a standalone first product
8,Return and refund evidence pack,Online shoppers facing a refused or incomplete refund,"Orders chats tracking and photos must be assembled",Online shopping is broad and shopping scams are frequently reported,5,3,3,2,4,3,4,3,69,3,66,S01,Reframed as a possible workflow template
9,Telecom or utility bill dispute helper,Households seeing a new fee or unexplained plan change,"A bill changes and support cannot explain it",Broad recurring billing base,4,3,4,2,4,4,4,4,71,6,65,B08,Useful signal that later contributed to the narrower BillFit direction
10,Social seller or ad risk check,Buyers considering payment from a social-platform ad,"The buyer cannot assess a seller or landing page",Official data reports substantial social-media scam exposure,4,3,4,2,4,5,4,3,72,8,64,S01,Rejected because detection is crowded and false-positive risk is high
11,Discharge document to family care plan,Family caregivers after a hospital discharge,"Medication follow-up warnings and assignments are scattered",Large family-caregiver population,4,3,5,2,3,4,3,4,70,10,60,F01,Deferred because health privacy and interpretation risk are high
12,Health-insurance denial appeal helper,Privately insured households facing a denial,"A denial arrives and the user does not know whether or how to appeal",Independent research reports consequential treatment denials,4,2,5,1,3,5,3,4,66,12,54,H01,Rejected as first product because direct competitors and medical risk are substantial
